所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段
大师精工,显示 拍品展示： 图片,无,,,功能测试,中,手动,迭代测试
大师精工,显示 拍品展示： 描述,无,,,功能测试,中,手动,迭代测试
大师精工,显示 拍品展示： 价格,无,,,功能测试,中,手动,迭代测试
大师精工,显示 拍品展示： 出价次数,无,,,功能测试,中,手动,迭代测试
大师精工,显示 排序：按照热度从高到低排序,无,,,功能测试,中,手动,迭代测试
大师精工,显示 返回主会场悬浮按钮,无,,,功能测试,中,手动,迭代测试
大师精工,显示 超过两屏返回顶部按钮,无,,,功能测试,中,手动,迭代测试
大师精工,显示 底部文案：已经到底啦~,无,,,功能测试,中,手动,迭代测试
大师精工,显示 交互： 点击tab可进行切换,无,,,功能测试,中,手动,迭代测试
大师精工,显示 交互： tab可滑动查看更多,无,,,功能测试,中,手动,迭代测试
大师精工,显示 交互： 点击拍品：进入对应拍品详情页,无,,,功能测试,中,手动,迭代测试
排行榜,入口 用户通过入口或链接点击进入会场,无,,,功能测试,中,手动,迭代测试
排行榜,时间 12月12日-12月19日,无,,,功能测试,中,手动,迭代测试
排行榜,显示 title 微拍节店铺排行榜,无,,,功能测试,中,手动,迭代测试
排行榜,显示 类型tab 热消度总榜,无,,,功能测试,中,手动,迭代测试
排行榜,显示 类型tab 人气榜： 人气维度按照：普通用户（除老用户外）点击分享链接+1，老用户（30天内未登录）点击+2，最后的总分值*100+ID后两位尾号,无,,,功能测试,中,手动,迭代测试
排行榜,显示 类型tab 人气榜： 分享规则：12号当天，店铺分享主会场页面，用户点击分享链接后可增加人气；,无,,,功能测试,中,手动,迭代测试
排行榜,显示 类型tab 人气榜： 需要支持黑名单屏蔽,无,,,功能测试,中,手动,迭代测试
排行榜,显示 类型tab 人气榜： 七大分类榜,无,,,功能测试,中,手动,迭代测试
排行榜,显示 每种展示前50名,无,,,功能测试,中,手动,迭代测试
排行榜,显示 前三名做区分,无,,,功能测试,中,手动,迭代测试
排行榜,显示 每个店铺均可点击,无,,,功能测试,中,手动,迭代测试
排行榜,显示 交互： 点击店铺： 有直播：进入直播间,无,,,功能测试,中,手动,迭代测试
排行榜,显示 交互： 点击店铺： 无直播：进入店铺首页,无,,,功能测试,中,手动,迭代测试
排行榜,显示 交互： 点击tab：可以切换,无,,,功能测试,中,手动,迭代测试
排行榜,显示 交互： 滑动tab：可查看剩余类别,无,,,功能测试,中,手动,迭代测试
